hotel,price,score,avg review,reviews count
JB Bukit Indah Skyloft Suites,MYR 179,"9.2
Skor 9.2",Hebat,21
Hallmark Regency Hotel - Johor Bahru,MYR 122,"7.4
Skor 7.4",Baik,"3,508"
Grand World Hotel,MYR 96,"7.0
Skor 7.0",Baik,218
KSL Hotel & Resort,MYR 195,"7.0
Skor 7.0",Baik,"12,192"
Citrus Hotel Johor Bahru by Compass Hospitality,MYR 156,"7.2
Skor 7.2",Baik,"1,718"
Fives Hotel Meldrum,MYR 170,"8.0
Skor 8.0",Sangat baik,308
Prestigo Hotel - Johor Bharu,MYR 128,"7.9
Skor 7.9",Baik,411
Molek Garden Hotel,MYR 133,"7.7
Skor 7.7",Baik,759
SUN INNS PERMAS JAYA,MYR 60,"7.3
Skor 7.3",Baik,928
"Holiday Inn Johor Bahru City Centre, an IHG Hotel",MYR 298,"8.5
Skor 8.5",Sangat baik,"3,829"
JB CIQ Central Park 1-3pax High Speed WiFi Skudai Paradigm Mall,MYR 268,"8.0
Skor 8.0",Sangat baik,1
V Hotel Johor Bahru,MYR 105,"6.5
Skor 6.5",Skor reviu,541
Cube 8teens by Nest Home,MYR 159,"8.7
Skor 8.7",Mengagumkan,631
The Point Boutique Hotel,MYR 91,"7.4
Skor 7.4",Baik,471
Country Garden Danga Bay InStyle Sea View Homestay Suite by NEO,MYR 179,"7.9
Skor 7.9",Baik,476
KSL City Mall D'esplanade By Summer,MYR 180,"7.3
Skor 7.3",Baik,"1,309"
1 Million Hotel,MYR 121,"7.8
Skor 7.8",Baik,534
DoubleTree by Hilton Johor Bahru,MYR 322,"8.7
Skor 8.7",Mengagumkan,"2,856"
Country Garden Theme Homestay by Nest Home at Danga Bay,MYR 162,"8.4
Skor 8.4",Sangat baik,536
Shobi Hotel Johor Bahru Near CIQ JB,MYR 93,"7.2
Skor 7.2",Baik,649
Yee Hotel Permas,MYR 112,"8.2
Skor 8.2",Sangat baik,394
Mid Valley Southkey Mosaic by Greatday,MYR 259,"7.4
Skor 7.4",Baik,915
Hotel Vistaria,MYR 81,"6.9
Skor 6.9",Skor reviu,235
Tune Hotel - Danga Bay Johor,MYR 103,"7.2
Skor 7.2",Baik,"2,521"
Super OYO 432 My 7days Inn,MYR 84,"7.0
Skor 7.0",Baik,271
ECO Haus Garden Residential,"MYR 1,450","9.1
Skor 9.1",Hebat,19
HAKO XPRESS TAMPOI,MYR 89,"7.8
Skor 7.8",Baik,15
